atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
1.62037e-05 3.04598e-06 7.89908e-05 6.96298e-06 3.66644e-06 2.56490e-06 3.66644e-06 2.11819e-05 2.09192e+00
4.39815e-05 8.53176e-06 7.50298e-05 2.37267e-05 9.95378e-06 3.11451e-06 6.06446e-06 2.48559e-05 5.11605e-01
8.12500e-04 1.91407e-04 6.94339e-05 4.53245e-04 1.83920e-04 1.50790e-06 1.83341e-05 1.20036e-05 7.03875e-01
1.36574e-04 2.85435e-05 6.77396e-05 1.98953e-04 3.09217e-05 3.18462e-06 1.74328e-05 1.88526e-05 1.00591e+00
6.94444e-06 1.30301e-06 7.67719e-05 3.31667e-05 1.57261e-06 2.67857e-06 1.57261e-06 2.03118e-05 2.10427e+00
2.31481e-06 4.38199e-07 8.93076e-05 3.74859e-06 5.24308e-07 3.70116e-06 5.24308e-07 2.28795e-05 -2.78569e+00
2.08333e-05 3.98476e-06 9.39616e-05 9.68960e-06 4.71972e-06 3.27151e-06 4.71972e-06 2.16952e-05 2.37786e-01
0.00000e+00 0.00000e+00 9.06061e-05 -3.25477e-06 0.00000e+00 3.33924e-06 6.72233e-27 2.13458e-05 -1.53504e+00
0.00000e+00 0.00000e+00 8.36308e-05 -3.22585e-06 0.00000e+00 3.22364e-06 0.00000e+00 2.38778e-05 -4.19140e-01
4.39815e-05 8.79146e-06 7.55737e-05 2.48535e-05 9.96985e-06 2.69938e-06 7.61196e-06 1.70038e-05 -9.11276e-01
2.31481e-06 4.29905e-07 6.76705e-05 -1.88845e-06 5.24833e-07 3.24774e-06 5.24833e-07 2.37396e-05 -7.87012e-01
2.22222e-04 4.96074e-05 6.05148e-05 1.54184e-04 5.03940e-05 2.49637e-06 1.24384e-05 2.09000e-05 2.30619e+00
2.31481e-06 4.19024e-07 5.44326e-05 1.52536e-06 5.25042e-07 2.80627e-06 5.25042e-07 2.17362e-05 1.91169e+00
0.00000e+00 0.00000e+00 4.99606e-05 -3.33098e-06 0.00000e+00 3.68717e-06 0.00000e+00 2.12671e-05 -6.73904e+00
6.22685e-04 1.37245e-04 4.65129e-05 3.40760e-04 1.41294e-04 1.70970e-06 2.42643e-05 1.08721e-05 -2.63083e+00
2.31481e-06 4.10434e-07 4.41831e-05 8.92071e-05 5.25362e-07 2.31698e-06 3.44376e-06 2.13284e-05 -2.37586e+00
2.68519e-04 5.99341e-05 4.49931e-05 2.07891e-04 6.09544e-05 1.87940e-06 7.40547e-06 1.52390e-05 -1.73644e+00
2.75463e-04 6.00308e-05 4.92349e-05 1.95605e-04 6.25435e-05 2.34581e-06 1.61488e-05 1.30102e-05 -2.27531e+00
9.25926e-06 1.68496e-06 5.76211e-05 1.82791e-05 2.10273e-06 2.60103e-06 2.10273e-06 1.55194e-05 -4.36766e+00
1.15741e-05 2.14812e-06 6.76584e-05 6.67186e-06 2.62894e-06 2.56180e-06 2.62894e-06 1.85070e-05 -1.58665e+00
7.63889e-05 1.49368e-05 7.27451e-05 4.49597e-05 1.73545e-05 2.27728e-06 1.44578e-05 1.35064e-05 -3.28321e+00
4.62963e-05 9.25159e-06 7.23475e-05 2.72522e-05 1.05200e-05 1.87259e-06 7.91992e-06 1.48396e-05 -2.19128e+00
4.62963e-06 8.60173e-07 6.95559e-05 5.50449e-07 1.05221e-06 2.13568e-06 1.05221e-06 1.80364e-05 -1.95534e+00
0.00000e+00 0.00000e+00 6.58351e-05 -2.86199e-06 0.00000e+00 2.85098e-06 1.34447e-26 2.36804e-05 -1.98166e+00
0.00000e+00 0.00000e+00 6.12975e-05 -2.20959e-06 0.00000e+00 2.13820e-06 2.38128e-26 2.15392e-05 -6.63858e-01
5.09259e-05 9.22973e-06 5.63215e-05 2.75018e-05 1.15812e-05 2.58478e-06 1.15762e-05 2.08424e-05 -1.04301e-02
5.60185e-04 1.26313e-04 5.13707e-05 3.50103e-04 1.27419e-04 2.27629e-06 1.82266e-05 9.80147e-06 -4.09275e+00
4.62963e-06 8.27509e-07 4.80084e-05 5.17548e-05 1.05326e-06 1.89785e-06 1.05326e-06 2.30296e-05 6.79264e-02
4.86111e-05 9.45856e-06 4.83709e-05 3.96744e-05 1.10603e-05 2.21432e-06 7.74058e-06 1.94853e-05 -1.76906e+00
1.62037e-05 2.90814e-06 5.01234e-05 9.08638e-06 3.68675e-06 2.09015e-06 3.68675e-06 1.75114e-05 -1.85935e+00
1.48148e-04 3.22311e-05 5.10159e-05 8.77682e-05 3.37073e-05 2.39335e-06 9.62791e-06 1.74200e-05 -2.12046e+00
2.50000e-04 5.58612e-05 5.05295e-05 1.31326e-04 5.68809e-05 2.19039e-06 9.61260e-06 2.23535e-05 2.46874e+00
6.01852e-05 1.10775e-05 4.96836e-05 8.75249e-05 1.36935e-05 2.63156e-06 1.24317e-05 1.67107e-05 -1.48871e+00
4.39815e-05 7.88736e-06 4.98670e-05 3.56034e-05 1.00067e-05 2.12581e-06 1.00022e-05 1.62354e-05 -8.41664e-02
1.45833e-04 3.02248e-05 5.08705e-05 9.67549e-05 3.31801e-05 2.17953e-06 1.59286e-05 1.64712e-05 -4.51173e-01
4.28241e-04 9.78246e-05 5.16441e-05 2.92988e-04 9.74332e-05 2.03867e-06 7.97605e-06 1.66911e-05 -9.79367e-01
2.59259e-04 5.58402e-05 5.48056e-05 1.63108e-04 5.89863e-05 1.57245e-06 2.12310e-05 1.21356e-05 -1.38057e+00
1.06481e-04 2.24858e-05 6.33589e-05 1.07362e-04 2.42264e-05 2.13170e-06 7.17207e-06 1.76006e-05 -1.36291e+00
4.93056e-04 1.16400e-04 7.43444e-05 3.22947e-04 1.12178e-04 1.82055e-06 1.03077e-05 1.54933e-05 -2.34409e+00
4.05093e-04 9.57174e-05 8.95822e-05 2.18143e-04 9.21648e-05 1.14358e-06 2.21516e-05 1.18847e-05 -2.28794e-01
0.00000e+00 0.00000e+00 1.10475e-04 9.24397e-05 0.00000e+00 2.40279e-06 0.00000e+00 2.14266e-05 -5.94144e-02
1.45833e-04 3.02000e-05 1.12875e-04 1.11499e-04 3.31790e-05 1.66041e-06 2.58824e-05 1.18562e-05 -6.23070e-02
1.15741e-05 2.25052e-06 1.12500e-04 8.93730e-06 2.63324e-06 2.60193e-06 2.63324e-06 1.78999e-05 -1.73105e+00
9.25926e-06 1.80007e-06 1.12253e-04 4.09554e-06 2.10658e-06 1.86171e-06 2.10658e-06 1.92763e-05 4.49974e+00
4.62963e-06 8.98680e-07 1.10737e-04 4.33064e-08 1.05328e-06 2.69483e-06 1.05328e-06 2.27823e-05 2.99270e-01
2.31481e-06 4.47464e-07 1.04530e-04 -1.04199e-06 5.26639e-07 2.32727e-06 5.26639e-07 2.07282e-05 1.32740e+00
4.12037e-04 1.00420e-04 9.53051e-05 2.19707e-04 9.37412e-05 1.93575e-06 7.45802e-06 1.80117e-05 2.46601e+00
3.68056e-04 8.60569e-05 8.70042e-05 2.77584e-04 8.37346e-05 2.22067e-06 1.71419e-05 1.37992e-05 -9.71427e-02
2.66204e-04 6.25945e-05 8.61979e-05 1.65951e-04 6.05624e-05 2.36894e-06 1.10451e-05 1.72862e-05 6.54777e-01
7.93201e-05 1.59674e-05 9.47913e-05 1.16417e-04 1.80455e-05 2.62237e-06 1.49235e-05 1.48682e-05 -1.17939e+00
9.64729e-05 1.86611e-05 1.05737e-04 7.14970e-05 2.19477e-05 1.57410e-06 2.19200e-05 1.39311e-05 2.36906e+00
9.64729e-05 1.87607e-05 1.11749e-04 5.72225e-05 2.19476e-05 1.65612e-06 2.18226e-05 1.10983e-05 4.65115e-01
1.06289e-04 2.06412e-05 1.10436e-04 5.99175e-05 2.41805e-05 1.94172e-06 2.42274e-05 1.13286e-05 -3.01972e-01
1.62037e-05 3.13180e-06 1.06373e-04 6.69339e-06 3.68629e-06 2.66514e-06 3.68629e-06 2.16013e-05 9.55312e-01
8.79630e-05 1.96499e-05 1.00046e-04 5.67665e-05 2.00111e-05 2.54209e-06 8.94581e-06 1.97026e-05 -3.32527e-01
1.50463e-04 3.55871e-05 9.20384e-05 1.06636e-04 3.42294e-05 1.67933e-06 6.41076e-06 1.75538e-05 3.08398e+00
